topic_id,0,1,2,3,4,5,6,label,doc_weight_sum
0,deal,game,trial,points,coverage,law,stock,00 deal game trial points coverage law stock,2021.9353170950487
1,man,police,authorities,death,woman,prison,officer,01 man police authorities death woman prison officer,4718.925642995365
2,government,border,state,budget,wall,emergency,night,02 government border state budget wall emergency night,2212.9218881189504
3,news,media,investigation,articles,security,people,press,03 news media investigation articles security people press,2098.9921931095782
4,story,link,column,advertise,second,headline,support,04 story link column advertise second headline support,2776.797630785407
5,years,program,climate,change,day,companies,immigrants,05 years program climate change day companies immigrants,2099.9521904949856
6,campaign,president,tax,plan,candidate,reading,race,06 campaign president tax plan candidate reading race,2548.417607840156
7,school,students,student,college,earnings,schools,people,07 school students student college earnings schools people,2250.3109058335785
8,case,sex,abuse,assault,years,allegations,traffic,08 case sex abuse assault years allegations traffic,2256.5646627341876
9,officials,authorities,woman,residents,people,cases,girl,09 officials authorities woman residents people cases girl,2275.609879945615
10,season,country,star,talks,host,field,time,10 season country star talks host field time,2091.4098836986636
11,credit,image,court,administration,order,decision,law,11 credit image court administration order decision law,2555.0681307702935
12,forces,water,weekend,coach,people,countrys,air,12 forces water weekend coach people countrys air,2383.218843029947
13,minister,investigation,meeting,time,report,week,committee,13 minister investigation meeting time report week committee,2645.0926337994674
14,state,people,percent,voters,election,women,rights,14 state people percent voters election women rights,2488.3622564970156
15,year,company,state,lawmakers,oil,credit,image,15 year company state lawmakers oil credit image,2653.268249812663
16,people,home,building,person,authorities,train,work,16 people home building person authorities train work,2108.4243224550473
17,week,attack,officials,people,state,workers,health,17 week attack officials people state workers health,2588.303362254889
18,election,trade,party,president,war,opposition,victory,18 election trade party president war opposition victory,2279.82294360089
19,coverage,sales,space,years,week,actor,study,19 coverage sales space years week actor study,2236.601455129945
